id,network,name,state,lat,lon,elevation
02619,rr,"Kleinich, Kr. Bernkastel-Wittlich",Rheinland-Pfalz,49.8939,7.1885,447
02621,rr,Kleinmachnow,Brandenburg,52.4045,13.2134,42
02625,rr,Kleßen-Görne,Brandenburg,52.739,12.4984,39
02627,kl,Schipkau-Klettwitz,Brandenburg,51.5554,13.8845,128
02629,kl,Kleve,Nordrhein-Westfalen,51.7612,6.0954,46
02630,rr,Kleve-Kellen,Nordrhein-Westfalen,51.812,6.1624,14
02637,rr,Klink-Sembzin,Mecklenburg-Vorpommern,53.4635,12.607,69
02638,kl,Klippeneck,Baden-Württemberg,48.1054,8.7548,974
02641,kl,Klitzschen bei Torgau,Sachsen,51.5185,12.9065,90
02644,rr,Klötze/Altmark,Sachsen-Anhalt,52.6168,11.1554,70
02651,rr,Neustadt/Orla-Knau,Thüringen,50.652,11.7206,454
02655,rr,Knüllwald-Niederbeisheim,Hessen,51.0426,9.5239,253
02660,rr,Jachenau-Obernach,Bayern,47.5541,11.2914,824
02662,rr,Köckte,Sachsen-Anhalt,52.5233,11.1261,59
02663,rr,Köhlen,Niedersachsen,53.5324,8.868,6
02667,kl,Köln/Bonn,Nordrhein-Westfalen,50.8645,7.1575,91
02671,rr,Königsbach-Stein,Baden-Württemberg,48.9654,8.6389,229
02673,rr,Königsborn,Sachsen-Anhalt,52.1331,11.7757,53
02674,rr,Geretsried,Bayern,47.8433,11.4776,608
02676,rr,Königsfeld-Poxdorf,Bayern,49.9374,11.12,506
02677,rr,Königsfeld/Schwarzwald,Baden-Württemberg,48.1413,8.4285,730
02680,kl,"Königshofen, Bad",Bayern,50.284,10.4456,289
02689,rr,Königsmoor,Niedersachsen,53.2279,9.6527,40
02696,rr,Königswartha,Sachsen,51.3113,14.3342,142
02700,kl,Kösching,Bayern,48.8302,11.4872,416
02704,kl,Köthen (Anhalt),Sachsen-Anhalt,51.7511,12.0094,76
02708,kl,"Kohlgrub, Bad (Rosshof)",Bayern,47.6652,11.0805,742
02709,rr,Kolitzheim,Bayern,49.9164,10.2363,230
02712,kl,Konstanz,Baden-Württemberg,47.6952,9.1307,428
02718,rr,Korbach-Rhena,Hessen,51.288,8.7928,458
02724,rr,Krailling,Bayern,48.0949,11.4051,553
02725,rr,Krakow am See,Mecklenburg-Vorpommern,53.6472,12.2587,51
02728,rr,Kratzeburg-Granzin,Mecklenburg-Vorpommern,53.4133,12.903,68
02732,rr,Einbeck-Greene,Niedersachsen,51.8619,9.9395,103
02733,rr,Kremmen-Groß Ziethen,Brandenburg,52.7277,13.0121,46
02734,rr,Krempel,Schleswig-Holstein,54.3237,9.0247,1
02736,rr,Kreßberg-Asbach,Baden-Württemberg,49.1405,10.1873,457
