station,temp_mean,temp_max,temp_min,precipitation,wind_max,wind_mean,sunshine,cloud,pressure,humidity,snow
01766,19.2,25.1,13.9,0,7.3,2.3,,5.6,1012.69,72.58,0
01769,,,,0,,,,,,,
01770,,,,0,,,,,,,
01779,,,,0,,,,,,,0
01786,,,,0,,,,,,,0
01789,,,,0,,,,,,,0
01792,19.1,24.8,13.6,0,,,,,,76.08,
01793,,,,0,,,,,,,
01801,,,,0,,,,,,,
01802,,,,0,,,,,,,0
01803,16.9,20.8,13.3,0,9.9,4.6,,,,79.58,
01810,,,,0,,,,,,,
01813,,,,0,,,,,,,
01814,,,,0,,,,,,,
01827,,,,0,,,,,,,
01832,11.9,17.1,7.9,0,9.9,5.1,10.35,3.3,857.23,76.54,
01844,,,,0,,,,,,,
01846,,,,0,,,,,,,
01847,,,,0,,,,,,,
01851,,,,0,,,,,,,
01858,,,,0,,,,,,,0
01863,19.6,26.9,13.1,0,,,,,,69.79,
01869,18,24.8,12.3,0,10.6,4.6,,3.4,1008.12,68.75,0
01870,,,,0,,,,,,,
01876,,,,0,,,,,,,0
01880,,,,0,,,,,,,0
01885,,,,0,,,,,,,0
01886,20.2,27.5,12.7,0,6.8,1.9,,,,64.08,
01888,,,,0,,,,,,,
01891,,,,0,,,,,,,0
01899,,,,0,,,,,,,0
01900,,,,0,,,,,,,
01907,,,,0,,,,,,,0
01909,,,,0,,,,,,,0
01927,,,,0.5,,,,,,,0
01933,,,,0,,,,,,,0
01937,,,,0,,,,,,,
01938,,,,0,,,,,,,
01945,,,,0,,,,,,,0
01949,,,,0,,,,,,,0
01950,,,,0,,,,,,,
01954,,,,0,,,,,,,0
01963,,,,,13.8,8.4,,,,,
01964,21.7,30.9,12.5,0,,,,,,60.5,
01975,16.9,19.7,12.5,0,,,0.15,7.7,1015.55,80.54,0
01981,17.5,20.9,13.5,0,,,,,,75.71,
01993,,,,,6.6,2.5,,,,,
01997,,,,0,,,,,,,
01999,,,,0,,,,,,,0
02011,,,,0.3,,,,,,,
02012,,,,0.1,,,,,,,
02014,17.2,23.8,11.7,0,,,,5,1010.97,78.08,0
02023,19.7,26.3,13.8,0,8.4,2.6,,2.1,959.23,63.25,0
02025,,,,0,,,,,,,0
02027,,,,0,,,,,,,
02037,,,,0,,,,,,,
02039,16.3,20.6,12.7,0.1,,,,,,76.63,
02044,14.3,18.6,11.3,0,9.1,3.2,,4.5,970.5,79.38,0
02049,,,,0,,,,,,,0
02050,,,,0,,,,,,,
02051,,,,0,,,,,,,
02062,,,,0,,,,,,,0
02064,,,,0,,,,,,,
02066,,,,0,,,,,,,
02070,,,,0,,,,,,,0
02073,,,,0,,,,,,,0
02074,20.5,28.7,11.7,0,,,,,,62.63,
02079,,,,0,,,,,,,0
02088,,,,0,,,,,,,0
02096,,,,0,,,,,,,0
02099,,,,0,,,,,,,0
02103,,,,0,,,,,,,0
02104,,,,0,,,,,,,0
02109,,,,0,,,,,,,
02113,,,,0,,,,,,,0
02115,17,18.8,15.5,0,11.9,6.5,0.717,7.5,1017.93,84.63,0
02117,,,,0,,,,,,,0
02118,,,,0,,,,,,,0
02119,,,,0,,,,,,,
02123,,,,0,,,,,,,0
02132,,,,0,,,,,,,0
02139,,,,0,,,,,,,0
02140,,,,0,,,,,,,0
02146,,,,0,,,,,,,0
02148,,,,0,,,,,,,0
02152,,,,0,,,,,,,
02159,,,,0,,,,,,,
02168,,,,0,,,,,,,0
02170,,,,0,,,,,,,
02171,18.8,24.1,12.5,0,7.9,2.4,,4.8,986.38,68.96,0
02174,16.2,19.8,11.4,0,,,,,,78.96,
02175,,,,0.2,,,,,,,
02178,,,,0,,,,,,,0
02181,,,,0,,,,,,,0
02184,,,,0,,,,,,,0
02192,,,,0,,,,,,,0
02201,17.2,20.6,14.3,0,,,,,,82.08,
02211,18.9,25.1,13.4,0,,,,,,73.79,
02213,,,,0,,,,,,,
02222,,,,0,,,,,,,
02233,,,,0,,,,,,,
02235,,,,0,,,,,,,0
02249,,,,0,,,,,,,0
02252,17.6,23.3,11.9,0,10.1,3,,,,61.38,
02254,,,,0,,,,,,,
02255,,,,0,,,,,,,0
02258,,,,0,,,,,,,0
02261,16.5,20.7,12.3,0,9.1,3.4,,1.8,951.93,70.21,0
02262,,,,0,,,,,,,0
02266,,,,0,,,,,,,0
02268,,,,0,,,,,,,0
02272,,,,0,,,,,,,
02273,,,,0,,,,,,,0
02274,,,,0,,,,,,,
02276,,,,0,,,,,,,0
02278,,,,0,,,,,,,
02284,,,,0,,,,,,,0
02288,,,,0,,,,,,,0
02290,18.5,23.1,13.8,0,7.3,2.5,13.067,2.2,906.5,65.38,0
02293,,,,0,,,,,,,
02294,,,,0,,,,,,,
02296,,,,0,,,,,,,0
02303,16.4,,,0,,,,,1014.88,83.88,0
02306,17.3,22.4,12.9,0,,,,,,77.38,
02315,17.6,,,0,,,,1.9,1004.23,63.38,0
02316,,,,0,,,,,,,0
02317,,,,0,,,,,,,0
02319,19.2,25.6,12.8,0,,,,,,66.42,
02323,18.3,23.5,14.6,0,,,,,,73.75,
02329,,,,0,,,,,,,
02331,,,,0,,,,,,,
02332,,,,0,,,,,,,0
02340,,,,0,,,,,,,0
02346,,,,0,,,,,,,0
02349,,,,,10,3.6,,,,,
02355,,,,0,,,,,,,
02358,,,,0,,,,,,,0
02359,,,,0,,,,,,,0
02362,19.1,24.2,13.7,0,,,,,,71.79,
02372,,,,0,,,,,,,
02376,,,,0,,,,,,,
02377,,,,,10.5,4,,,,,
02385,20.8,,,0,,,,0.5,973.78,60.08,0
02386,,,,0,,,,,,,0
02387,,,,0,,,,,,,
02403,,,,0,,,,,,,0
02405,,,,0,,,,,,,
02407,,,,0,,,,,,,0
02409,,,,0,,,,,,,
02410,19.7,,,0,,,,2,973.94,61.54,0
02411,,,,0,,,,,,,0
02412,,,,0,,,,,,,
02415,,,,0,,,,,,,
02416,,,,0,,,,,,,
02419,,,,0,,,,,,,0
02429,16.9,18.9,14,0,6.9,2.1,,7.9,1014.3,81.75,
02431,,,,0,,,,,,,
02432,,,,0,,,,,,,0
02437,16.7,,,0,,,,6.7,1013.62,81.79,0
02438,,,,0,,,,,,,
02439,,,,0,,,,,,,0
02444,19.1,23.6,14.1,0,,,,,,65.33,
02446,,,,0,,,,,,,0
02449,,,,0,,,,,,,0
02452,,,,0,,,,,,,0
02453,,,,0,,,,,,,
02454,,,,0,,,,,,,0
02457,,,,0,,,,,,,
02462,,,,0,,,,,,,0
02463,,,,0,,,,,,,0
02465,,,,0,,,,,,,
02472,,,,0,,,,,,,0
02473,,,,0,,,,,,,
02475,,,,0,,,,,,,0
02480,21.4,28.2,14.2,0,,,,,,62.58,
02481,,,,0,,,,,,,0
02483,13.7,16,12.3,0,8.7,3.6,7.767,4.6,922.67,88.58,0
02485,19.6,26.4,11.5,0,8.7,1.7,,1.7,960.81,63.13,0
02486,22.5,31,13.7,0,,,,,,56.17,
02491,,,,0,,,,,,,0
02492,,,,0,,,,,,,0
02497,18.4,24.8,13.6,0,9,2.3,,,,71.21,
02499,,,,0,,,,,,,0
02500,,,,0,,,,,,,
02502,,,,0.2,,,,,,,0
02505,,,,0,,,,,,,0
02511,,,,0,,,,,,,0
02518,,,,0,,,,,,,
02521,,,,0,,,,,,,0
02523,,,,0,,,,,,,0
02526,,,,0,,,,,,,0
02529,,,,0,,,,,,,0
02530,,,,0,,,,,,,0
02531,,,,0,,,,,,,
02538,,,,0,,,,,,,
